Image_Number,Angle_deg,Area_m2,Normal_Vector
0,115.4599,1.3094,"[np.float64(0.009314438548505518), np.float64(-0.9028385734572594), np.float64(-0.4298787637371575)]"
1,165.481,1.0475,"[np.float64(0.017469661643408605), np.float64(-0.2500912888820668), np.float64(-0.9680646456447893)]"
2,145.1339,0.7198,"[np.float64(0.01881323005634657), np.float64(0.5713515363244017), np.float64(-0.8204897831872088)]"
3,124.618,0.7279,"[np.float64(0.025476063764741288), np.float64(0.8225638749283241), np.float64(-0.5681017882720977)]"
4,151.148,0.3799,"[np.float64(0.025268850732647417), np.float64(-0.4818872302123382), np.float64(-0.8758688158285648)]"
5,131.8907,1.0066,"[np.float64(-0.016935068265255506), np.float64(-0.7442277603845857), np.float64(-0.6677111981506636)]"
6,130.265,0.8167,"[np.float64(0.053641254341611995), np.float64(-0.7611756837442424), np.float64(-0.6463235987561832)]"
